id;tytuł;autor;rok_wydania;isbn;status_wyp;status_rez
1;Java. Efektywne programowanie. Wydanie III;Joshua Bloch;2018;9788328345768;false;false
2;Java. Podstawy. Wydanie X;Cay S. Horstmann;2016;9788328324800;false;false
3;Programowanie w Javie. Solidna wiedza w praktyce. Wydanie XI;Paul Deitel, Harvey Deitel;2018;9788328339736;false;false
4;Java. Techniki zaawansowane. Wydanie X;Cay S. Horstmann;2017;9788328334793;false;false
5;Android Studio. Tworzenie aplikacji mobilnych;Marcin Płonkowski;2017;9788328344624;false;false
6;JavaFX 9. Tworzenie graficznych interfejsów użytkownika;Urszula Piechota, Jacek Piechota;2018;9788328347625;false;false
7;Java 9. Przewodnik doświadczonego programisty. Wydanie II;Cay S. Horstmann;2018;9788328342507;false;false
8;Myśl w języku Java! Nauka programowania;Allen B. Downey, Chris Mayfield;2017;9788328330061;false;false
9;Java. Przewodnik dla początkujących. Wydanie VII;Herbert Schildt;2018;9788328346116;false;false
10;Spring w akcji. Wydanie IV;Craig Walls;2015;9788328308497;false;false
11;Java. Zadania z programowania z przykładowymi rozwiązaniami. Wydanie II;Mirosław J. Kubiak;2018;9788328341449;false;false
12;Java. Programowanie funkcyjne;Pierre-Yves Saumont;2017;9788328333246;false;false
